manga_name,manga_synonym,manga_japanese,manga_english,manga_type,manga_volume,manga_chapters,manga_status,manga_published,manga_genre,manga_theme,manga_demographic,manga_serialization,manga_author,manga_score,manga_ranked,manga_popularity,manga_members,manga_favorites
Berserk,Berserk: The Prototype,ベルセルク,Berserk,Manga,Unknown,Unknown,Publishing,"Aug  25, 1989 to ?","ActionAction,AdventureAdventure,Award WinningAward Winning,DramaDrama,FantasyFantasy,HorrorHorror","GoreGore,MilitaryMilitary,PsychologicalPsychological",SeinenSeinen,Young Animal,"Miura, Kentarou(Story & Art),Studio Gaga(Art)","9.471(scored by391387391,387 users)1indicates aweighted score.",#122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1,"782,514","136,691"
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,"JoJo's Bizarre Adventure Part 7: Steel Ball Run, SBR",ジョジョの奇妙な冒険 Part7 STEEL BALL RUN,JoJo's Bizarre Adventure Part 7: Steel Ball Run,Manga,24,96,Finished,"Jan  19, 2004 to Apr  19, 2011","ActionAction,AdventureAdventure,MysteryMystery,SupernaturalSupernatural",HistoricalHistorical,"SeinenSeinen,ShounenShounen",Ultra Jump,"Araki, Hirohiko(Story & Art)","9.331(scored by190691190,691 users)1indicates aweighted score.",#222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#22,"311,068","50,407"
Vagabond,,バガボンド,Vagabond,Manga,37,327,On Hiatus,"Sep  3, 1998 to May  21, 2015","ActionAction,AdventureAdventure,Award WinningAward Winning","HistoricalHistorical,SamuraiSamurai",SeinenSeinen,Morning,"Inoue, Takehiko(Story & Art),Yoshikawa, Eiji(Story)","9.271(scored by171445171,445 users)1indicates aweighted score.",#322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12,"448,268","47,936"
One Piece,,ONE PIECE,One Piece,Manga,Unknown,Unknown,Publishing,"Jul  22, 1997 to ?","ActionAction,AdventureAdventure,FantasyFantasy",,ShounenShounen,Shounen Jump (Weekly),"Oda, Eiichiro(Story & Art)","9.221(scored by415209415,209 users)1indicates aweighted score.",#422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4,"687,006","125,019"
Guimi Zhi Zhu,Lord of the Mysteries,诡秘之主,Lord of Mysteries,Novel,18,366,Finished,"May  1, 2020 to Aug  1, 2023","ActionAction,FantasyFantasy,MysteryMystery,SuspenseSuspense","IsekaiIsekai,Urban FantasyUrban Fantasy",,None,Ai Qianshui de Wuzei(Story),"9.171(scored by64806,480 users)1indicates aweighted score.",#522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1025,"21,135","1,620"
Monster,,MONSTER,Monster,Manga,18,162,Finished,"Dec  5, 1994 to Dec  20, 2001","Award WinningAward Winning,DramaDrama,MysteryMystery","Adult CastAdult Cast,PsychologicalPsychological",SeinenSeinen,Big Comic Original,"Urasawa, Naoki(Story & Art)","9.161(scored by114281114,281 users)1indicates aweighted score.",#622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#27,"283,964","23,444"
Vinland Saga,"Sayounara ga Chikai node, For Our Farewell Is Near, Because Goodbyes Are Coming Soon, ""Assasin's Creed Valhalla"" Collab Bangai-hen, Assassin's Creed x Vinland Saga, Assassin's Creed Valhalla x Vinland Saga",ヴィンランド・サガ,Vinland Saga,Manga,29,224,Finished,"Apr  13, 2005 to Jul  25, 2025","ActionAction,AdventureAdventure,Award WinningAward Winning,DramaDrama",HistoricalHistorical,SeinenSeinen,Afternoon,"Yukimura, Makoto(Story & Art)","9.091(scored by155208155,208 users)1indicates aweighted score.",#722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#17,"352,643","37,716"
Slam Dunk,,SLAM DUNK,Slam Dunk,Manga,31,276,Finished,"Sep  18, 1990 to Jun  4, 1996","Award WinningAward Winning,SportsSports","SchoolSchool,Team SportsTeam Sports",ShounenShounen,Shounen Jump (Weekly),"Inoue, Takehiko(Story & Art)","9.081(scored by8779487,794 users)1indicates aweighted score.",#822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#49,"197,233","17,757"
Fullmetal Alchemist,"Full Metal Alchemist, Hagane no Renkinjutsushi, FMA, HagaRen, Fullmetal Alchemist Gaiden",鋼の錬金術師,Fullmetal Alchemist,Manga,27,116,Finished,"Jul  12, 2001 to Sep  11, 2010","ActionAction,AdventureAdventure,Award WinningAward Winning,DramaDrama,FantasyFantasy",MilitaryMilitary,ShounenShounen,Shounen Gangan,"Arakawa, Hiromu(Story & Art)","9.041(scored by168394168,394 users)1indicates aweighted score.",#922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#20,"319,355","31,210"
Omniscient Reader's Viewpoint,Jeonjijeok Dokja Sijeom,전지적 독자 시점,Omniscient Reader's Viewpoint,Novel,20,105,Finished,"Jan  20, 2022 to Sep  11, 2023","ActionAction,AdventureAdventure,FantasyFantasy",Urban FantasyUrban Fantasy,,None,"sing N song(Story),BlackBox(Art)","9.041(scored by1282412,824 users)1indicates aweighted score.",#1022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#635,"32,180","2,543"
The Greatest Estate Developer,"The World's Best Engineer, The Greatest Estate Designer, Yeokdaegeup Yeongji Seolgyesa",역대급 영지 설계사,The Greatest Estate Developer,Manhwa,Unknown,222,Finished,"Jul  30, 2021 to Jan  1, 2026","AdventureAdventure,ComedyComedy,FantasyFantasy","IsekaiIsekai,ReincarnationReincarnation",,Naver Webtoon,"Moon, Back-kyung(Story),Kim, Hyunsoo(Art)","9.041(scored by3405634,056 users)1indicates aweighted score.",#1122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#235,"73,723","4,310"
Grand Blue,,ぐらんぶる,Grand Blue Dreaming,Manga,Unknown,Unknown,Publishing,"Apr  7, 2014 to ?",ComedyComedy,"Adult CastAdult Cast,Gag HumorGag Humor",SeinenSeinen,good! Afternoon,"Inoue, Kenji(Story),Yoshioka, Kimitake(Art)","9.041(scored by7486874,868 users)1indicates aweighted score.",#1222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#48,"198,765","19,016"
Kingdom,,キングダム,Kingdom,Manga,Unknown,Unknown,Publishing,"Jan  26, 2006 to ?","ActionAction,Award WinningAward Winning","HistoricalHistorical,MilitaryMilitary",SeinenSeinen,Young Jump,"Hara, Yasuhisa(Story & Art)","9.021(scored by7026370,263 users)1indicates aweighted score.",#1322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#50,"197,216","16,867"
Tian Guan Cifu,TGCF,天官赐福,Heaven Official's Blessing: Tian Guan Ci Fu,Novel,6,Unknown,Finished,"Feb  4, 2021 to Mar  31, 2022","ActionAction,AdventureAdventure,Boys LoveBoys Love,FantasyFantasy","HistoricalHistorical,MythologyMythology",,None,Mo Xiang Tong Xiu(Story),"9.011(scored by83128,312 users)1indicates aweighted score.",#1422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1003,"21,506","1,621"
Oyasumi Punpun,,おやすみプンプン,Goodnight Punpun,Manga,13,147,Finished,"Mar  15, 2007 to Nov  2, 2013","DramaDrama,Slice of LifeSlice of Life",PsychologicalPsychological,SeinenSeinen,Big Comic Spirits,"Asano, Inio(Story & Art)","8.981(scored by213574213,574 users)1indicates aweighted score.",#1522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8,"508,911","57,657"
Houseki no Kuni,,宝石の国,Land of the Lustrous,Manga,13,108,Finished,"Oct  25, 2012 to Apr  25, 2024","ActionAction,DramaDrama,FantasyFantasy",AnthropomorphicAnthropomorphic,SeinenSeinen,Afternoon,"Ichikawa, Haruko(Story & Art)","8.981(scored by5696556,965 users)1indicates aweighted score.",#1622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#77,"167,268","18,285"
Real,,リアル,Real,Manga,Unknown,Unknown,Publishing,"Oct  28, 1999 to ?","Award WinningAward Winning,DramaDrama,SportsSports","PsychologicalPsychological,Team SportsTeam Sports",SeinenSeinen,Young Jump,"Inoue, Takehiko(Story & Art)","8.961(scored by2480924,809 users)1indicates aweighted score.",#1722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#146,"108,200","4,503"
Ashita no Joe,"Rocky Joe, Tomorrow's Joe",あしたのジョー,Ashita no Joe: Fighting for Tomorrow,Manga,20,171,Finished,"Jan  1, 1968 to May  13, 1973","DramaDrama,Slice of LifeSlice of Life,SportsSports",Combat SportsCombat Sports,ShounenShounen,Shounen Magazine (Weekly),"Kajiwara, Ikki(Story),Chiba, Tetsuya(Art)","8.941(scored by2013520,135 users)1indicates aweighted score.",#1822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#287,"64,345","4,721"
20th Century Boys,"20 Seiki Shounen, Nijuu Seiki Shounen, Nijuusseiki Shounen, 20thCB",20世紀少年,20th Century Boys,Manga,22,249,Finished,"Sep  27, 1999 to Apr  24, 2006","Award WinningAward Winning,DramaDrama,MysteryMystery,Sci-FiSci-Fi","HistoricalHistorical,PsychologicalPsychological",SeinenSeinen,Big Comic Spirits,"Urasawa, Naoki(Story & Art)","8.931(scored by107170107,170 users)1indicates aweighted score.",#1922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#24,"304,618","22,689"
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,When Seagulls Cry Episode 8: Twilight of the Golden Witch,うみねこのなく頃に散 - Episode 8: Twilight of the Golden Witch,Umineko When They Cry Episode 8: Twilight of the Golden Witch,Manga,9,42,Finished,"Jan  21, 2012 to Jun  22, 2015","DramaDrama,FantasyFantasy,MysteryMystery,SupernaturalSupernatural",,ShounenShounen,Gangan Joker,"Natsumi, Kei(Art),Ryukishi07(Story)","8.921(scored by82968,296 users)1indicates aweighted score.",#2022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#907,"23,693","1,907"
Yotsuba to!,Yotsuba and!,よつばと!,Yotsuba&!,Manga,Unknown,Unknown,Publishing,"Mar  21, 2003 to ?","Award WinningAward Winning,ComedyComedy,Slice of LifeSlice of Life","ChildcareChildcare,IyashikeiIyashikei",,Dengeki Daioh,"Azuma, Kiyohiko(Story & Art)","8.911(scored by6071560,715 users)1indicates aweighted score.",#2122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#68,"176,281","17,828"
Monogatari Series: First Season,"Bakemonogatari, Monster Tale, Kizumonogatari, Wound Tale, Nisemonogatari, Fake Tale, Nekomonogatari: Kuro, Nekomonogatari: Black",〈物語〉シリーズ ファーストシーズン,,Light Novel,6,107,Finished,"Nov  1, 2006 to Jul  28, 2010","ActionAction,ComedyComedy,MysteryMystery,RomanceRomance,SupernaturalSupernatural",VampireVampire,,Mephisto,"NISIO, ISIN(Story),VOFAN(Art)","8.911(scored by1825318,253 users)1indicates aweighted score.",#2222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#277,"66,466","3,257"
Monogatari Series: Second Season,"Nekomonogatari: Shiro, Kabukimonogatari, Hanamonogatari, Otorimonogatari, Onimonogatari, Koimonogatari",〈物語〉シリーズ セカンドシーズン,,Light Novel,6,199,Finished,"Oct  27, 2010 to Dec  20, 2011","ComedyComedy,DramaDrama,MysteryMystery,SupernaturalSupernatural",VampireVampire,,None,"NISIO, ISIN(Story),VOFAN(Art)","8.891(scored by83688,368 users)1indicates aweighted score.",#2322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#742,"28,007",795
