manhwa_name,manhwa_synonym,manhwa_japanese,manhwa_english,manhwa_type,manhwa_volume,manhwa_chapters,manhwa_status,manhwa_published,manhwa_genre,manhwa_theme,manhwa_demographic,manhwa_serialization,manhwa_author,manhwa_score,manhwa_ranked,manhwa_popularity,manhwa_members,manhwa_favorites
The Greatest Estate Developer,"The World's Best Engineer, The Greatest Estate Designer, Yeokdaegeup Yeongji Seolgyesa",역대급 영지 설계사,The Greatest Estate Developer,Manhwa,Unknown,222,Finished,"Jul  30, 2021 to Jan  1, 2026","AdventureAdventure,ComedyComedy,FantasyFantasy","IsekaiIsekai,ReincarnationReincarnation",,Naver Webtoon,"Moon, Back-kyung(Story),Kim, Hyunsoo(Art)","9.041(scored by3405634,056 users)1indicates aweighted score.",#1122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#235,"73,723","4,310"
No Home,Jib-i Eopseo,집이 없어,,Manhwa,Unknown,269,Finished,"Dec  31, 2018 to Aug  5, 2024",Slice of LifeSlice of Life,SchoolSchool,,Naver Webtoon,Wanan(Story & Art),"8.771(scored by35223,522 users)1indicates aweighted score.",#4722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2110,"11,390",661
On the Way to Meet Mom,On the Way to See My Mom,엄마를 만나러 가는 길,On the Way to Meet Mom,Manhwa,2,31,Finished,"Nov  25, 2024 to Jun  10, 2025","AdventureAdventure,FantasyFantasy",ChildcareChildcare,,Naver Webtoon,Gomyang(Story & Art),"8.771(scored by36173,617 users)1indicates aweighted score.",#5122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2671,"9,141",257
My Bias Gets on the Last Train,,내 최애는 막차를 탄다,My Bias Gets on the Last Train,Manhwa,Unknown,Unknown,Publishing,"Dec  14, 2024 to ?",RomanceRomance,,,Naver Webtoon,Jixksee(Story & Art),"8.731(scored by50095,009 users)1indicates aweighted score.",#5722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1660,"14,174",582
The Horizon,,수평선,The Horizon,Manhwa,3,21,Finished,"Mar  30, 2016 to Jul  21, 2016","AdventureAdventure,DramaDrama",PsychologicalPsychological,,Comica,"Jeong, Ji-Hoon(Story & Art)","8.691(scored by5161551,615 users)1indicates aweighted score.",#6722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#139,"112,661","5,309"
Omniscient Reader's Viewpoint,Jeonji-jeok Dokja Sijeom,전지적 독자 시점,Omniscient Reader's Viewpoint,Manhwa,Unknown,Unknown,Publishing,"May  26, 2020 to ?","ActionAction,AdventureAdventure,FantasyFantasy",Urban FantasyUrban Fantasy,,Naver Webtoon,"sing N song(Story),Sleepy-C(Art)","8.651(scored by6750067,500 users)1indicates aweighted score.",#8022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#81,"163,387","8,883"
Solo Leveling,"Na Honjaman Level Up, I Level Up Alone",나 혼자만 레벨업,Solo Leveling,Manhwa,Unknown,201,Finished,"Mar  4, 2018 to May  31, 2023","ActionAction,AdventureAdventure,FantasyFantasy","Adult CastAdult Cast,Urban FantasyUrban Fantasy",,KakaoPage,"Chugong(Story),Jang, Sung-rak(Art),Disciples(Art)","8.601(scored by361716361,716 users)1indicates aweighted score.",#10322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5,"606,002","47,382"
Seasons of Blossom,Cheongchun Blossom,청춘 블라썸,Seasons of Blossom,Manhwa,12,135,Finished,"Jun  24, 2020 to Mar  24, 2023",RomanceRomance,Love PolygonLove Polygon,,Naver Webtoon,"Hongduck(Story),NEMONE(Art)","8.591(scored by82678,267 users)1indicates aweighted score.",#10822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1094,"19,962",878
Wind Breaker,,윈드 브레이커,Wind Breaker,Manhwa,Unknown,553,Discontinued,"Dec  15, 2013 to Jul  11, 2025","DramaDrama,SportsSports",,,Naver Webtoon,"Jo, Yongseok(Story & Art)","8.581(scored by2345023,450 users)1indicates aweighted score.",#10922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#280,"66,132","3,528"
The Legend of the Northern Blade,Bukgeom Jeongi,북검전기,The Legend of the Northern Blade,Manhwa,Unknown,202,Finished,"Dec  31, 2019 to Nov  19, 2024","ActionAction,AdventureAdventure,FantasyFantasy",Martial ArtsMartial Arts,,KakaoPage,"Woogack(Story),Hae, Min(Art)","8.581(scored by2225322,253 users)1indicates aweighted score.",#11322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#339,"54,643","1,549"
Webtoon Character Na Kang Lim,Suyo Webtoon-ui Na Kang Lim,수요웹툰의 나강림,,Manhwa,Unknown,172,Finished,"May  4, 2021 to Jul  9, 2024","ComedyComedy,RomanceRomance,SupernaturalSupernatural","HaremHarem,SchoolSchool,Time TravelTime Travel",,Naver Webtoon,"Lee, Kyeongmin(Story),Song, Junhyeok(Art)","8.551(scored by74747,474 users)1indicates aweighted score.",#12322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1426,"16,017",847
Eleceed,,일렉시드,Eleceed,Manhwa,Unknown,Unknown,Publishing,"Oct  2, 2018 to ?",ActionAction,Super PowerSuper Power,,Naver Webtoon,"Kim, Hye-Jin(Art),Son, Jae-Ho(Story)","8.531(scored by1571515,715 users)1indicates aweighted score.",#14022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#482,"41,323","1,721"
After School Lessons for Unripe Apples,"20th Century Green Apple School, 90's Cram School for Unripe Apples, Segimal Putsagwa Boseup Hagwon",세기말 풋사과 보습학원,After School Lessons for Unripe Apples,Manhwa,Unknown,Unknown,Publishing,"Dec  23, 2020 to ?",RomanceRomance,SchoolSchool,,Naver Webtoon,Soonkki(Story & Art),"8.531(scored by31153,115 users)1indicates aweighted score.",#14122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2586,"9,390",526
The Boxer,,더 복서,The Boxer,Manhwa,13,123,Finished,"Dec  4, 2019 to May  4, 2022","DramaDrama,SportsSports",Combat SportsCombat Sports,,Naver Webtoon,"Jeong, Ji-Hoon(Story & Art)","8.501(scored by2752827,528 users)1indicates aweighted score.",#15222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#330,"56,344","2,211"
Return of the Blossoming Blade,"Return of the Mount Hua Sect, Return of the Flowery Mountain Sect, Hwasan Gwihwan",화산귀환,Return of the Blossoming Blade,Manhwa,Unknown,Unknown,Publishing,"Mar  23, 2021 to ?","ActionAction,AdventureAdventure,FantasyFantasy","Martial ArtsMartial Arts,ReincarnationReincarnation",,Naver Webtoon,"LICO(Art),Biga(Story)","8.491(scored by1419914,199 users)1indicates aweighted score.",#15622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#540,"36,901","1,014"
Villains Are Destined to Die,"Death Is the Only Ending for the Villainess, Agyeok-ui Ending Jugeum-ppun",악역의 엔딩은 죽음뿐,Villains Are Destined to Die,Manhwa,Unknown,Unknown,Publishing,"May  1, 2020 to ?","DramaDrama,FantasyFantasy,RomanceRomance","Reverse HaremReverse Harem,VillainessVillainess",,KakaoPage,"Gwon, Gyeoeul(Story),SUOL(Art)","8.481(scored by1658416,584 users)1indicates aweighted score.",#16822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#423,"45,915","1,996"
Who Made Me a Princess,"Eoneu Nal Gongjuga Doeeo Beoryeotda, Suddenly Became A Princess One Day",어느 날 공주가 되어버렸다,Who Made Me a Princess,Manhwa,Unknown,135,Finished,"Dec  20, 2017 to Dec  12, 2025","DramaDrama,FantasyFantasy",ReincarnationReincarnation,,Ridi Webtoon,"Plutus(Story),Spoon(Art)","8.471(scored by3135731,357 users)1indicates aweighted score.",#17022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#282,"65,908","3,388"
Bastard,Hulejasig,후레자식,Bastard,Manhwa,5,94,Finished,"Jul  4, 2014 to May  6, 2016","DramaDrama,HorrorHorror,MysteryMystery,RomanceRomance","GoreGore,PsychologicalPsychological",,Naver Webtoon,"Kim, Carnby(Story),Hwang, Young-chan(Art)","8.461(scored by7806878,068 users)1indicates aweighted score.",#17822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#90,"150,764","6,826"
Lost in the Cloud,Cloud,클라우드,Lost in the Cloud,Manhwa,Unknown,131,Finished,"Nov  20, 2020 to Jan  17, 2025",Boys LoveBoys Love,"PsychologicalPsychological,SchoolSchool",,Lezhin Comics Webtoon,"Kim, Pas(Story & Art)","8.451(scored by53335,333 users)1indicates aweighted score.",#19422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1813,"13,230",867
The Knight Only Lives Today,"Eternally Regressing Knight, A Knight Who Eternally Regresses, Oneul-man Saneun Gisa",오늘만 사는 기사,The Knight Only Lives Today,Manhwa,Unknown,Unknown,Publishing,"May  17, 2024 to ?","ActionAction,FantasyFantasy",Time TravelTime Travel,,Naver Webtoon,"Soulpung(Story),Ian(Art)","8.451(scored by58455,845 users)1indicates aweighted score.",#19822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1263,"17,621",277
Spirit Fingers,,스피릿 핑거스,Spirit Fingers,Manhwa,13,163,Finished,"May  16, 2015 to Jul  21, 2018","ComedyComedy,RomanceRomance,Slice of LifeSlice of Life",,,Naver Webtoon,"Han, Kyoung-chal(Story & Art)","8.431(scored by34393,439 users)1indicates aweighted score.",#21222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2466,"9,766",416
